,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens,kmeans_numeric,kmeans_dens_2
66,61.0,144,0.0,1.0,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.8,1.5,"1,15",0.6,0.8,"0,7",18.0,6.0,1.15,0.7,3.0,3.0,0,1,0
67,62.0,144,0.0,1.0,2007-0054-006,,440,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,"0,5",0.5,0.6,"0,55",34.0,8.0,0.5,0.55,4.25,4.25,1,0,1
68,63.0,144,1.0,1.0,2007-0054-007,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.8,"0,6",20.0,8.0,0.35,0.6,2.5,2.5,0,1,0
70,65.0,159,1.0,0.0,2008-0001-002-01,,110,200,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",17.0,7.0,0.5,0.5,2.43,2.43,0,1,0
72,67.0,159,1.0,0.0,2008-0001-003-01,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,10.0,0.3,0.5,3.2,3.2,1,0,1
73,68.0,159,0.0,1.0,2008-001-003-04,,400,180,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.6,0.8,"0,7",18.0,9.0,0.55,0.7,2.0,2.0,0,1,0
75,70.0,159,0.0,1.0,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.6,8.0,"4,3",30.0,8.0,0.55,4.3,3.75,3.75,1,0,1
77,72.0,159,0.0,1.0,2008-001-003-05,,130,50,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,12.0,0.5,0.5,1.33,1.33,0,1,0
79,74.0,159,0.0,1.0,2008-0001-004-05,,30,85,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",18.0,13.0,0.25,0.25,1.38,1.38,0,1,0
80,75.0,159,0.0,1.0,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.6,"0,4",0.2,0.6,"0,4",16.0,12.0,0.4,0.4,1.33,1.33,0,1,0
81,76.0,159,1.0,0.0,2008-004-01,,110,85,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",16.0,11.0,0.5,0.4,1.45,1.45,0,1,0
82,77.0,160,1.0,0.0,2008-002-02,,300,1220,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.7,"0,45",0.4,0.5,"0,45",10.0,8.0,0.45,0.45,1.25,1.25,0,1,0
84,79.0,"160, 165-167",0.0,0.0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.6,"0,4",0.3,0.5,"0,4",15.0,12.0,0.4,0.4,1.25,1.25,0,1,0
85,80.0,"160, 165-167",0.0,0.0,2008-002-010-05,,1250,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,"0,45",0.3,0.4,"0,35",32.0,11.0,0.45,0.35,2.91,2.91,1,0,1
86,81.0,"160, 165-167",0.0,0.0,2008-002-010-08,,240,150,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",32.0,12.0,0.5,0.4,2.67,2.67,1,0,1
87,82.0,161,1.0,0.0,2008-005-001-01,,630,30,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44,0,1,0
88,82.0,161,1.0,0.0,2008-005-001-01,,420,30,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44,0,1,0
89,82.0,161,1.0,0.0,2008-005-001-01,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44,0,1,0
90,83.0,161,1.0,0.0,2008-005-001-02,,130,30,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.5,0.7,"0,6",12.0,8.0,0.4,0.6,1.5,1.5,0,1,0
91,84.0,162,0.0,1.0,2008-006-007-01,,150,75,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",30.0,10.0,0.25,0.25,3.0,3.0,1,0,1
92,85.0,162,0.0,1.0,2008-006-007-02,,80,85,nakladka,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",26.0,13.0,0.25,0.35,2.0,2.0,1,0,1
93,86.0,162,0.0,1.0,2008-006-007-03,,70,130,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",26.0,13.0,0.25,0.35,2.0,2.0,1,0,1
94,87.0,162,0.0,1.0,2008-006-007-04,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",30.0,10.0,0.25,0.25,3.0,3.0,1,0,1
95,88.0,162,0.0,1.0,2008-006-007-06,,30,180,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",28.0,10.0,0.25,0.25,2.8,2.8,1,0,1
96,89.0,163,0.0,1.0,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",24.0,10.0,0.35,0.35,2.4,2.4,1,0,1
97,90.0,163,0.0,1.0,2008-008-001-03-2,,310,920,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",10.0,7.0,0.55,0.55,1.43,1.43,0,1,0
98,90.0,163,0.0,1.0,2008-008-001-03-2,,80,50,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",20.0,10.0,0.25,0.25,2.0,2.0,0,1,0
104,92.0,163,0.0,1.0,2008-008-04,,300,820,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,10.0,0.5,0.5,1.6,1.6,0,1,0
105,93.0,163,0.0,1.0,2008-008-06,,2100,26,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.3,0.4,"0,35",28.0,10.0,0.45,0.35,2.8,2.8,1,0,1
106,94.0,163,0.0,1.0,2008-008-07,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",20.0,10.0,0.25,0.35,2.0,2.0,0,1,0
108,96.0,169,0.0,1.0,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.2,0.3,"0,25",28.0,5.0,0.4,0.25,5.6,5.6,1,0,1
109,97.0,172,0.0,1.0,2008-0013-002-04,,230,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",19.0,12.0,0.45,0.45,1.58,1.58,0,1,0
110,98.0,173,0.0,1.0,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,0.8,"0,7",12.0,10.0,0.7,0.7,1.2,1.2,0,1,0
112,100.0,173,0.0,1.0,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,0.8,"0,7",12.0,10.0,0.7,0.7,1.2,1.2,0,1,0
118,106.0,173,0.0,1.0,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,1.2,"0,9",1.0,1.4,"1,2",20.0,8.0,0.9,1.2,2.5,2.5,0,1,0
119,107.0,173,0.0,1.0,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",1.5,2.5,2,12.0,5.0,0.65,2.0,2.4,2.4,0,1,0
121,109.0,173,0.0,1.0,2008-0031-003-12,,160,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.8,"0,55",0.3,0.6,"0,45",30.0,12.0,0.55,0.45,2.5,2.5,1,0,1
122,110.0,173,0.0,1.0,2008-0031-003-13,,100,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",20.0,5.0,0.4,0.55,4.0,4.0,0,1,0
123,111.0,173,0.0,1.0,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.4,0.6,"0,5",14.0,4.0,0.7,0.5,3.5,3.5,0,1,0
124,112.0,173,0.0,1.0,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.4,0.6,"0,5",14.0,4.0,0.7,0.5,3.5,3.5,0,1,0
126,114.0,175,0.0,1.0,2008-0024-003-01,,200,210,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",34.0,12.0,0.5,0.5,2.83,2.83,1,0,1
127,115.0,175,0.0,1.0,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",16.0,10.0,0.65,0.65,1.6,1.6,0,1,0
128,115.0,175,0.0,1.0,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",16.0,10.0,0.65,0.65,1.6,1.6,0,1,0
129,116.0,175,0.0,1.0,2008-0024-003-03,,70,230,pelena,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,7.0,0.5,0.5,2.29,2.29,0,1,0
130,116.0,175,0.0,1.0,2008-0024-003-03,,350,200,pelena,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,7.0,0.5,0.5,2.29,2.29,0,1,0
131,117.0,175,0.0,1.0,2008-0024-003-04,,100,140,nakladka,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.7,"0,55",16.0,7.0,0.5,0.55,2.29,2.29,0,1,0
132,117.0,175,0.0,1.0,2008-0024-003-04,,350,55,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.7,"0,55",16.0,7.0,0.5,0.55,2.29,2.29,0,1,0
133,118.0,176,0.0,0.0,2008-0032-005,,1230,60,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.5,"0,35",0.2,0.3,"0,25",32.0,12.0,0.35,0.25,2.67,2.67,1,0,1
134,119.0,179,0.0,0.0,2008-0042-001-01,,20,450,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.6,"0,45",0.5,0.7,"0,6",16.0,8.0,0.45,0.6,2.0,2.0,0,1,0
