,internal_storage,warp_size,weft_size,type,item_no,warp_a,warp_b,weft_a,weft_b,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_nominal_norm,weft_nominal_norm,warp_nominal_scaled,weft_nominal_scaled,warp_dens_norm,weft_dens_norm,warp_dens_scaled,weft_dens_scaled
96,2008-008-001-03-2,310,920,funeral_shroud,1,0.5,0.6,0.5,0.6,10.0,7.0,0.55,0.55,0.0830096247899293,0.07448090425143303,1.5092813015854516,0.6820802559230024,0.028208772769198358,0.04492166167163028,-1.3713335352711526,-1.1697767262838206
103,2008-008-04,300,820,funeral_shroud,0,0.4,0.6,0.4,0.6,16.0,10.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.045134036430717374,0.06417380238804325,-0.6810854752014855,-0.01364171109368855
104,2008-008-06,2100,26,n_band,0,0.4,0.5,0.3,0.4,28.0,10.0,0.45,0.35,0.06791696573721488,0.04739693906909374,0.20837522165291064,-1.2816157674986348,0.0789845637537554,0.06417380238804325,0.6994106449378484,-0.01364171109368855
106,2008-008-08,170,90,m_band,0,0.3,0.4,0.3,0.3,34.0,14.0,0.35,0.3,0.05282430668450046,0.04062594777350892,-1.0925308582796303,-1.7725397733540438,0.09590982741527442,0.08984332334326056,1.3896587050075155,1.527871642493154
107,2008-0011-001-01,50,10,n_band,0,0.3,0.5,0.2,0.3,28.0,5.0,0.4,0.25,0.06037063621085768,0.0338549564779241,-0.44207781831335946,-2.2634637792094527,0.0789845637537554,0.032086901194021626,0.6994106449378484,-1.9405334030772416
108,2008-0013-002-04,230,120,fabric,0,0.3,0.6,0.3,0.6,19.0,12.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.053596668261476875,0.07700856286565191,-0.33596144516665205,0.7571149656997327
110,2008-0031-003-02,420,20,n_band,0,0.3,0.6,0.3,0.5,28.0,14.0,0.45,0.4,0.06791696573721488,0.05416793036467856,0.20837522165291064,-0.7906917616432253,0.0789845637537554,0.08984332334326056,0.6994106449378484,1.527871642493154
112,2008-0031-003-04,260,160,w_band,0,0.4,0.6,0.3,0.5,26.0,15.0,0.5,0.4,0.0754632952635721,0.05416793036467856,0.8588282616191807,-0.7906917616432253,0.07334280919991573,0.09626070358206489,0.4693279582479595,1.9132499808898646
113,2008-0031-003-05,110,30,n_band,0,0.4,0.6,0.3,0.5,26.0,15.0,0.5,0.4,0.0754632952635721,0.05416793036467856,0.8588282616191807,-0.7906917616432253,0.07334280919991573,0.09626070358206489,0.4693279582479595,1.9132499808898646
115,2008-0031-003-07,360,45,m_band,0,0.3,0.7,0.4,0.5,36.0,10.0,0.5,0.45,0.0754632952635721,0.06093892166026338,0.8588282616191807,-0.2997677557878162,0.10155158196911408,0.06417380238804325,1.6197413916974046,-0.01364171109368855
116,2008-0031-003-08,190,45,m_band,0,0.3,0.7,0.4,0.5,36.0,10.0,0.5,0.45,0.0754632952635721,0.06093892166026338,0.8588282616191807,-0.2997677557878162,0.10155158196911408,0.06417380238804325,1.6197413916974046,-0.01364171109368855
119,2008-0031-003-11,50,50,m_band,0,0.4,0.6,0.4,0.6,27.0,16.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.07616368647683557,0.10267808382086921,0.584369301592904,2.2986283192865753
