order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens
65,159,1,0,2008-0001-002-01,,110,200,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",17,7
66,159,1,0,2008-0001-002-01,,155,230,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,2","0,4","0,3","0,2","0,4","0,3",16,16
67,159,1,0,2008-0001-003-01,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",32,10
68,159,0,1,2008-001-003-04,,400,180,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,6","0,8","0,7",18,9
69,159,0,1,2008-001-003-04,,480,320,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,3","0,5","0,4",24,15
70,159,0,1,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,6",8,"4,3",30,8
71,159,0,1,2008-001-003-05,,160,65,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,4","0,5","0,45","0,2","0,4","0,3",36,16
72,159,0,1,2008-001-003-05,,130,50,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,4","0,6","0,5","0,4","0,6","0,5",16,12
73,159,0,1,2008-001-003-05,,160,65,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,5","0,4",22,16
74,159,0,1,2008-0001-004-05,,30,85,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",18,13
75,159,0,1,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,2","0,6","0,4","0,2","0,6","0,4",16,12
76,159,1,0,2008-004-01,,110,85,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,3","0,5","0,4",16,11
77,160,1,0,2008-002-02,,300,1220,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,"0,2","0,7","0,45","0,4","0,5","0,45",10,8
78,"160, 165-167",0,0,2008-002-010-01,,500,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,2","0,3","0,25","0,1","0,2","0,15",42,16
79,"160, 165-167",0,0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,2","0,6","0,4","0,3","0,5","0,4",15,12
80,"160, 165-167",0,0,2008-002-010-05,,1250,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,5","0,45","0,3","0,4","0,35",32,11
81,"160, 165-167",0,0,2008-002-010-08,,240,150,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,3","0,5","0,4",32,12
82,161,1,0,2008-005-001-01,,630,30,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,6","0,55",13,9
82,161,1,0,2008-005-001-01,,420,30,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,6","0,55",13,9
82,161,1,0,2008-005-001-01,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,6","0,55",13,9
83,161,1,0,2008-005-001-02,,130,30,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,6","0,4","0,5","0,7","0,6",12,8
84,162,0,1,2008-006-007-01,,150,75,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",30,10
85,162,0,1,2008-006-007-02,,80,85,nakladka,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",26,13
86,162,0,1,2008-006-007-03,,70,130,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",26,13
87,162,0,1,2008-006-007-04,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",30,10
88,162,0,1,2008-006-007-06,,30,180,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",28,10
89,163,0,1,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4","0,35","0,3","0,4","0,35",24,10
90,163,0,1,2008-008-001-03-2,,310,920,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6","0,55","0,5","0,6","0,55",10,7
90,163,0,1,2008-008-001-03-2,,80,50,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",20,10
91,163,0,1,2008-008-03,,100,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,2","0,2",44,13
91,163,0,1,2008-008-03,,850,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,2","0,2",44,13
91,163,0,1,2008-008-03,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,2","0,2",44,13
